order_id,item_id,item,quantity,price,total_item,service_fee,order_id_software
18896,40,Chicken Tenders (7 Uds.),1,7.9,7.9,0.0,49561
18895,11,Alitas,1,7.2,7.2,0.0,133821027
18895,19,Patatas fritas Grandes,1,4.5,4.5,0.0,133821027
18895,1,Patatas fritas Pequeñas,1,2.5,2.5,0.0,133821027
18895,25,Sweet Home Madrid,1,12.7,12.7,0.0,133821027
18894,41,Burger La Caprichosa,2,11.9,23.8,0.0,ME1BLSZR
18893,42,Coca-Cola Sabor Original lata 330ml.,1,1.9,1.9,0.0,7C6A3
18893,1,Patatas fritas Pequeñas,1,2.5,2.5,0.0,7C6A3
18893,2,Kahuna Burger,1,8.5,8.5,0.0,7C6A3
18892,25,Sweet Home Madrid,1,12.7,12.7,0.0,FD5FA
18892,19,Patatas fritas Grandes,1,4.5,4.5,0.0,FD5FA
18892,43,Salsa Mayo Trufa,1,1.5,1.5,0.0,FD5FA
18891,24,Slim Combo (Para 1),1,11.9,11.9,0.0,133823751
18891,2,Kahuna Burger,1,8.5,8.5,0.0,133823751
18890,44,Burger Perla Negra,1,12.5,12.5,0.0,ACJUMBQK
18890,40,Chicken Tenders (7 Uds.),1,7.2,7.2,0.0,ACJUMBQK
18889,45,Burger La Zar Basic,1,12.9,12.9,0.0,ARPBDXR4
18889,40,Chicken Tenders (7 Uds.),1,7.2,7.2,0.0,ARPBDXR4
18889,44,Burger Perla Negra,1,12.5,12.5,0.0,ARPBDXR4
18889,33,Patatas Fritas,2,2.5,5.0,0.0,ARPBDXR4
18889,46,Tequeños (4 Uds.),1,5.9,5.9,0.0,ARPBDXR4
18888,34,Burger La Uno Basic,1,12.6,12.6,0.0,AFVSX1KF
18888,47,Alitas De Pollo Fritas (7 Uds.),1,7.2,7.2,0.0,AFVSX1KF
18887,40,Chicken Tenders (7 Uds.),1,7.2,7.2,0.0,A21KDU1W
18887,45,Burger La Zar Basic,1,12.9,12.9,0.0,A21KDU1W
18887,33,Patatas Fritas,1,2.5,2.5,0.0,A21KDU1W
18887,48,Cheescake de Oreo,1,5.9,5.9,0.0,A21KDU1W
18887,44,Burger Perla Negra,1,12.5,12.5,0.0,A21KDU1W
18886,12,Sweet Home Alicante,2,12.3,24.6,0.0,733894546
18885,2,Kahuna Burger,1,7.7,7.7,0.0,08533
18885,19,Patatas fritas Grandes,1,3.5,3.5,0.0,08533
18885,29,Salsa X,1,1.5,1.5,0.0,08533
18884,19,Patatas fritas Grandes,1,4.5,4.5,0.0,C5E04
18884,7,Zima Blue,1,11.7,11.7,0.0,C5E04
18884,2,Kahuna Burger,1,8.1,8.1,0.0,C5E04
18883,12,Sweet Home Alicante,1,12.3,12.3,0.0,E08C6
18883,6,Ned Kelly,1,10.9,10.9,0.0,E08C6
18883,19,Patatas fritas Grandes,1,4.5,4.5,0.0,E08C6
18882,49,Hamburguesa El Zar,1,14.9,14.9,0.0,BHUGDGNL
18882,50,Hamburguesa La Caprichosa,1,12.9,12.9,0.0,BHUGDGNL
18882,51,Hamburguesa Perla Negra,1,14.3,14.3,0.0,BHUGDGNL
18881,5,Tequeños,1,6.4,6.4,0.0,80A80
18881,3,Sweet Home Sanvi,1,12.3,12.3,0.0,80A80
18881,6,Ned Kelly,1,10.9,10.9,0.0,80A80
18880,52,Salsa Spicy,1,1.5,1.5,0.0,3E6FA
18880,6,Ned Kelly,1,10.9,10.9,0.0,3E6FA
18880,19,Patatas fritas Grandes,1,4.5,4.5,0.0,3E6FA
18880,20,Charles Wells,1,8.3,8.3,0.0,3E6FA
18880,42,Coca-Cola Sabor Original lata 330ml.,2,1.9,3.8,0.0,3E6FA
18879,38,Boniato frito grande,1,6.9,6.9,0.0,22ED9
18879,18,Dulces sueños,1,5.9,5.9,0.0,22ED9
18879,5,Tequeños,1,6.4,6.4,0.0,22ED9
18879,6,Ned Kelly,1,11.4,11.4,0.0,22ED9
18878,2,Kahuna Burger,1,8.1,8.1,0.0,BUBCXQUR
18878,5,Tequeños,2,6.4,12.8,0.0,BUBCXQUR
18878,19,Patatas fritas Grandes,1,4.5,4.5,0.0,BUBCXQUR
18878,20,Charles Wells,1,8.3,8.3,0.0,BUBCXQUR
