order_id_software,item,price,quantity
126654398,El Zar,14.9,1
126599011,Arepa Sifrina,7.7,1
126599011,Boniato guarnición,2.5,1
126599011,Chicken Tenders,7.7,1
126599011,MayoTrufa (Servidas aparte),1.5,1
126599011,Salsa Tepuy (Servidas aparte),1.0,1
126599011,Tequemix,9.9,1
126571403,Custom Burger,9.5,1
126571403,Salsa Tepuy (dentro burger),1.0,1
126571403,Una más de ternera gallega,2.5,1
126571403,Queso Cheddar,1.0,1
126571403,Lechuga,0.5,1
126560865,Cheesebacon,12.5,2
126533737,Combo Duo (Para 2),26.8,1
126533737,La Uno,2.0,1
126493687,LA UNO,14.6,1
126493687,Queso en las patatas,1.5,1
126479314,Inglesa,12.3,1
126479314,Mixto de patatas y boniato,1.5,1
126479314,Guacamole,2.0,1
126479314,Beety Miranda,12.7,1
126479314,Boniato frito,1.5,1
126414531,Combo Duo (Para 2),26.8,1
126414531,La Muergana,1.7,1
126414531,La Muergana,1.7,1
126328845,Caprichosa,12.9,1
126328845,Cheesebacon,12.5,1
126328845,Boniato frito,1.5,1
126328845,La Muergana,14.5,2
126328845,Tequemix,9.9,1
126308253,Tequemix,9.9,1
126308253,El Zar,14.9,1
126308253,Custom Burger,9.5,1
126308253,Salsa Beety (dentro burger),1.0,1
126308253,Tomate,0.5,1
126308253,Cebolla Caramelizada,1.0,1
126308253,Queso Caribeño,1.5,1
126308253,Lechuga,0.5,1
126308253,Cocacola bote,1.9,1
126303243,Perla Negra,14.3,1
126303243,Queso Cabra,1.5,1
126303243,La Muergana,14.5,1
126303243,Custom Burger,9.5,1
126303243,Cebolla Caramelizada,1.0,1
126303243,Lechuga,0.5,1
126303243,Huevo Frito,1.0,1
126303243,Bacon,1.0,1
126303243,Una más de ternera gallega,2.5,1
126303243,Cheesebacon,12.5,1
126303243,LA UNO,14.6,1
126303243,Boniato frito,1.5,1
126303243,Chicken Tenders,7.7,1
126254931,Arepa Rumbera Remix,7.7,2
126254931,Salsa Tepuy (dentro arepa),1.0,1
126254931,Salsa BBQ (Servidas aparte),1.0,1
126254931,Patatas guarnición,1.5,2
126254931,Salsa Equis (Servidas aparte),1.0,1
126254931,Arepa Sifrina,7.7,2
126254931,Mixto de patatas y boniato guarnición,2.0,1
126195362,Combo Duo (Para 2),26.8,1
126195362,La Muergana,1.7,1
126195362,El Zar,2.2,1
126169061,Arepa Reina Pepiada,7.7,1
126169061,Patatas guarnición,1.5,1
126169061,El Zar,14.9,1
126169061,Tequenutellla PL,3.9,1
126120986,LA UNO,14.6,2
126120986,Boniato frito,1.5,1
126112344,Caprichosa,12.9,2
126112344,Ranch (Servidas aparte),1.0,1
126112344,Salsa BBQ (Servidas aparte),1.0,1
126112344,Tequeños,9.9,1
126112344,Cocacola bote,1.9,2
126046715,La Muergana,14.5,2
126046715,Arepa Reina Pepiada,7.7,1
126046715,Patatas guarnición,1.5,1
126046715,LA UNO,14.6,2
126046715,Chicken Tenders,7.7,1
126046715,Tequemix,9.9,1
125997654,Combo Duo (Para 2),26.8,1
125997654,Perla Negra,1.7,1
125997654,Perla Negra,1.7,1
125926172,Perla Negra,14.3,1
125926172,Una más de ternera gallega,2.5,1
125926172,La Muergana,14.5,1
125921993,La Muergana,14.5,1
125921993,Una más de ternera gallega,2.5,1
125921993,Queso en las patatas,1.5,1
125921993,LA UNO,14.6,1
125861057,PACK 12 TEQUEÑOS,17.8,1
125861057,Habanera,15.9,1
125861057,Nestea bote,1.9,1
125845458,Arepa Sifrina,7.7,1
125845458,Boniato guarnición,2.5,1
125845458,Cebolla Caramelizada,1.0,1
125845371,Caprichosa,12.9,1
125845371,Habanera,15.9,1
125845371,Boniato frito,1.5,1
125741300,La Muergana,14.5,1
125741300,Perla Negra,14.3,1
125741300,Tequemix,9.9,1
125725932,Cheesebacon,12.5,1
125725932,Caprichosa,12.9,1
125677045,La Muergana,14.5,1
125677045,Boniato frito,1.5,2
125677045,Emily By Joe Burger,13.9,1
125601699,Emily By Joe Burger,13.9,1
125601699,Una más de ternera gallega,2.5,1
125594093,LA UNO,14.6,1
125594093,Inglesa,12.3,1
125594093,Salsa Tepuy (Servidas aparte),1.0,1
125497416,Andale,13.6,1
125497416,LA UNO,14.6,1
125497416,Boniato frito,1.5,1
125497416,Nestea bote,1.9,1
125488991,Tropichicken,12.9,1
125488991,Mixto de patatas y boniato,1.5,1
125488991,LA UNO,14.6,1
125488991,Trío Criollo,12.2,1
125438328,PACK 12 TEQUEÑOS,17.8,1
125438328,Habanera,15.9,1
125434990,Tequemix,9.9,1
125434990,Cheesebacon,12.5,1
125417206,Cheesebacon,12.5,1
125417206,Salsa Beety (Servidas aparte),1.0,1
125417206,Mixto de patatas y boniato,1.5,1
125417206,Una más de ternera gallega,2.5,1
125417206,Tequeños,9.9,1
125407390,LA UNO,14.6,1
125407390,La Muergana,14.5,1
125407390,Combo Duo (Para 2),26.8,1
125407390,La Uno,2.0,1
125407390,La Uno,2.0,1
125267853,Tequeños,9.9,1
125267853,Beety Miranda,12.7,1
125267853,Salsa Tepuy (Servidas aparte),1.0,1
125267853,Perla Negra,14.3,1
125258038,Cheesebacon,12.5,1
125258038,Caprichosa,12.9,1
125232642,Emily By Joe Burger,13.9,1
125232642,Mixto de patatas y boniato,1.5,1
125232642,Arepa Sifrina,7.5,1
125231501,Tequeños,8.9,1
125231501,LA UNO,13.6,1
125231501,La Muergana,13.5,1
125231501,Cheesebacon,11.5,2
125231501,Una más de ternera gallega,2.5,1
125222323,Caprichosa,11.9,1
125222323,MayoTrufa (Servidas aparte),1.5,1
125222323,Mixto de patatas y boniato,1.5,1
125178927,Cheesebacon,11.5,2
125178927,Tequeños,8.9,1
125150776,Chicken Tenders,7.2,1
125150776,César con Pollo (Ensalada),13.9,1
125150776,Custom Burger,8.5,2
125150776,Queso Cheddar,1.0,2
125150776,Lechuga,0.5,1
125150776,Boniato frito,1.5,1
125150776,Bacon,1.0,1
124894087,Arepa Pelúa,7.5,1
124894087,Mixto de patatas y boniato guarnición,2.0,1
124894087,Queso Caribeño,1.5,1
124894087,Emily By Joe Burger,13.9,1
124894087,Salsa Equis (Servidas aparte),1.0,1
124894087,Mixto de patatas y boniato,1.5,1
124894087,Queso en las patatas,1.5,1
124894087,Andale,12.6,1
124894087,PACK 12 TEQUEÑOS,17.8,1
124822064,Arepa Reina Pepiada,7.5,1
124756029,Arepa Reina Pepiada,7.5,1
124756029,Arepa Sifrina,7.5,1
124756029,Cheesebacon,11.5,2
124756029,Cocacola bote,1.9,1
124756029,Tequeños,8.9,1
124752148,Como Ego (para 1),13.4,1
124742168,Tequeños,8.9,1
124742168,LA UNO,13.6,1
