"CreatedTime","CreatedTimeUTC","Location","OrderID","Channel","Payment","PaymentAmount","Rebate","SubTotal","Tax","VAT","ProductNames","ItemPrice","ItemQuantities"
"2023-04-30 22:01:55+0200","2023-04-30 20:01:55","Alicante - Periodista Rodolfo Salazar","1F69D","Uber Eats","ONLINE",14.0,0.0,14.0,0.0,1.28,"Cheesebacon",1250,1
"2023-04-30 22:01:55+0200","2023-04-30 20:01:55","Alicante - Periodista Rodolfo Salazar","1F69D","Uber Eats","ONLINE",14.0,0.0,14.0,0.0,1.28,"Pan normal",0,1
"2023-04-30 22:01:55+0200","2023-04-30 20:01:55","Alicante - Periodista Rodolfo Salazar","1F69D","Uber Eats","ONLINE",14.0,0.0,14.0,0.0,1.28,"Hecha",0,1
"2023-04-30 22:01:55+0200","2023-04-30 20:01:55","Alicante - Periodista Rodolfo Salazar","1F69D","Uber Eats","ONLINE",14.0,0.0,14.0,0.0,1.28,"Boniato frito",150,1
"2023-04-30 22:01:55+0200","2023-04-30 20:01:55","Alicante - Periodista Rodolfo Salazar","1F69D","Uber Eats","ONLINE",14.0,0.0,14.0,0.0,1.28,"Hamburguesa normal",0,1
"2023-04-30 22:01:55+0200","2023-04-30 20:01:55","Alicante - Periodista Rodolfo Salazar","1F69D","Uber Eats","ONLINE",14.0,0.0,14.0,0.0,1.28,"Sin Extras",0,1
"2023-04-30 22:00:05+0200","2023-04-30 20:00:05","Alicante - Periodista Rodolfo Salazar","77B6E","Uber Eats","ONLINE",32.0,0.0,44.9,0.0,2.91,"LA UNO",1460,1
"2023-04-30 22:00:05+0200","2023-04-30 20:00:05","Alicante - Periodista Rodolfo Salazar","77B6E","Uber Eats","ONLINE",32.0,0.0,44.9,0.0,2.91,"Pan normal",0,3
"2023-04-30 22:00:05+0200","2023-04-30 20:00:05","Alicante - Periodista Rodolfo Salazar","77B6E","Uber Eats","ONLINE",32.0,0.0,44.9,0.0,2.91,"Madurada HECHA",0,1
"2023-04-30 22:00:05+0200","2023-04-30 20:00:05","Alicante - Periodista Rodolfo Salazar","77B6E","Uber Eats","ONLINE",32.0,0.0,44.9,0.0,2.91,"Mixto de patatas y boniato",150,3
"2023-04-30 22:00:05+0200","2023-04-30 20:00:05","Alicante - Periodista Rodolfo Salazar","77B6E","Uber Eats","ONLINE",32.0,0.0,44.9,0.0,2.91,"Hamburguesa normal",0,3
"2023-04-30 22:00:05+0200","2023-04-30 20:00:05","Alicante - Periodista Rodolfo Salazar","77B6E","Uber Eats","ONLINE",32.0,0.0,44.9,0.0,2.91,"Sin Extras",0,3
"2023-04-30 22:00:05+0200","2023-04-30 20:00:05","Alicante - Periodista Rodolfo Salazar","77B6E","Uber Eats","ONLINE",32.0,0.0,44.9,0.0,2.91,"Caprichosa",1290,2
"2023-04-30 22:00:05+0200","2023-04-30 20:00:05","Alicante - Periodista Rodolfo Salazar","77B6E","Uber Eats","ONLINE",32.0,0.0,44.9,0.0,2.91,"Hecha",0,2
"2023-04-30 22:00:06+0200","2023-04-30 20:00:06","Alicante - Periodista Rodolfo Salazar","4F032","Uber Eats","ONLINE",12.9,0.0,25.8,0.0,1.18,"Caprichosa",1290,2
"2023-04-30 22:00:06+0200","2023-04-30 20:00:06","Alicante - Periodista Rodolfo Salazar","4F032","Uber Eats","ONLINE",12.9,0.0,25.8,0.0,1.18,"Pan normal",0,2
"2023-04-30 22:00:06+0200","2023-04-30 20:00:06","Alicante - Periodista Rodolfo Salazar","4F032","Uber Eats","ONLINE",12.9,0.0,25.8,0.0,1.18,"Al punto",0,2
"2023-04-30 22:00:06+0200","2023-04-30 20:00:06","Alicante - Periodista Rodolfo Salazar","4F032","Uber Eats","ONLINE",12.9,0.0,25.8,0.0,1.18,"Patatas fritas caseras",0,2
"2023-04-30 22:00:06+0200","2023-04-30 20:00:06","Alicante - Periodista Rodolfo Salazar","4F032","Uber Eats","ONLINE",12.9,0.0,25.8,0.0,1.18,"Hamburguesa normal",0,2
"2023-04-30 22:00:06+0200","2023-04-30 20:00:06","Alicante - Periodista Rodolfo Salazar","4F032","Uber Eats","ONLINE",12.9,0.0,25.8,0.0,1.18,"Sin Extras",0,2
"2023-04-30 21:59:22+0200","2023-04-30 19:59:22","Alicante - Periodista Rodolfo Salazar","7695D","Uber Eats","ONLINE",18.4,0.0,31.3,0.0,1.68,"Gofre con helado",550,1
"2023-04-30 21:59:22+0200","2023-04-30 19:59:22","Alicante - Periodista Rodolfo Salazar","7695D","Uber Eats","ONLINE",18.4,0.0,31.3,0.0,1.68,"Sirope Chocolate",0,1
