artículos_ordenados,cantidad,precio_de_venta,artículo_subtotal,id_de_pedido,service_fee
Burger Perla Negra,1,12.5,12.5,ACJUMBQK,0.0
Chicken Tenders (7 Uds.),1,7.2,7.2,ACJUMBQK,0.0
Burger La Zar Basic,1,12.9,12.9,ARPBDXR4,0.0
Chicken Tenders (7 Uds.),1,7.2,7.2,ARPBDXR4,0.0
Burger Perla Negra,1,12.5,12.5,ARPBDXR4,0.0
Patatas Fritas,2,2.5,5.0,ARPBDXR4,0.0
Tequeños (4 Uds.),1,5.9,5.9,ARPBDXR4,0.0
Burger La Uno Basic,1,12.6,12.6,AFVSX1KF,0.0
Alitas De Pollo Fritas (7 Uds.),1,7.2,7.2,AFVSX1KF,0.0
Chicken Tenders (7 Uds.),1,7.2,7.2,A21KDU1W,0.0
Burger La Zar Basic,1,12.9,12.9,A21KDU1W,0.0
Patatas Fritas,1,2.5,2.5,A21KDU1W,0.0
Cheescake de Oreo,1,5.9,5.9,A21KDU1W,0.0
Burger Perla Negra,1,12.5,12.5,A21KDU1W,0.0
Sweet Home Alicante,2,12.3,24.6,733894546,0.0
Kahuna Burger,1,7.7,7.7,08533,0.0
Patatas fritas Grandes,1,3.5,3.5,08533,0.0
Salsa X,1,1.5,1.5,08533,0.0
Patatas fritas Grandes,1,4.5,4.5,C5E04,0.0
Zima Blue,1,11.7,11.7,C5E04,0.0
Kahuna Burger,1,8.1,8.1,C5E04,0.0
Sweet Home Alicante,1,12.3,12.3,E08C6,0.0
Ned Kelly,1,10.9,10.9,E08C6,0.0
Patatas fritas Grandes,1,4.5,4.5,E08C6,0.0
Hamburguesa El Zar,1,14.9,14.9,BHUGDGNL,0.0
Hamburguesa La Caprichosa,1,12.9,12.9,BHUGDGNL,0.0
Hamburguesa Perla Negra,1,14.3,14.3,BHUGDGNL,0.0
Tequeños,1,6.4,6.4,80A80,0.0
Sweet Home Sanvi,1,12.3,12.3,80A80,0.0
Ned Kelly,1,10.9,10.9,80A80,0.0
Salsa Spicy,1,1.5,1.5,3E6FA,0.0
Ned Kelly,1,10.9,10.9,3E6FA,0.0
Patatas fritas Grandes,1,4.5,4.5,3E6FA,0.0
Charles Wells,1,8.3,8.3,3E6FA,0.0
Coca-Cola Sabor Original lata 330ml.,2,1.9,3.8,3E6FA,0.0
Boniato frito grande,1,6.9,6.9,22ED9,0.0
Dulces sueños,1,5.9,5.9,22ED9,0.0
Tequeños,1,6.4,6.4,22ED9,0.0
Ned Kelly,1,11.4,11.4,22ED9,0.0
Kahuna Burger,1,8.1,8.1,BUBCXQUR,0.0
Tequeños,2,6.4,12.8,BUBCXQUR,0.0
Patatas fritas Grandes,1,4.5,4.5,BUBCXQUR,0.0
Charles Wells,1,8.3,8.3,BUBCXQUR,0.0
Salsa Mayo Trufa,1,1.5,1.5,C0E55,0.0
Sweet Home Alicante,1,12.3,12.3,C0E55,0.0
Coca-Cola Sabor Original lata 330ml.,1,1.9,1.9,C0E55,0.0
Tequeños (4 Uds.),1,5.9,5.9,AV8KSK3V,0.0
Patatas Fritas,2,2.5,5.0,AV8KSK3V,0.0
Burger Perla Negra,2,12.5,25.0,AV8KSK3V,0.0
Boniato Frito,2,3.5,7.0,AV8KSK3V,0.0
Burger La Zar Basic,1,12.9,12.9,AV8KSK3V,0.0
Burger La Uno Basic,1,12.6,12.6,AV8KSK3V,0.0
Patatas fritas Pequeñas,1,2.5,2.5,D408D,0.0
Sweet Home Benidorm,1,12.3,12.3,D408D,0.0
El Pelirojo Jimmy,1,10.7,10.7,D408D,0.0
Burger La Uno Basic,1,12.6,12.6,A1EXASW6,0.0
Patatas Fritas,1,2.5,2.5,A1EXASW6,0.0
Patatas fritas Grandes,1,4.5,4.5,3BDE7,0.0
Ned Kelly,1,10.9,10.9,3BDE7,0.0
El Pelirojo Jimmy,1,10.7,10.7,3BDE7,0.0
Chicken Tenders,1,7.6,7.6,3BDE7,0.0
Kahuna Burger,1,8.1,8.1,733902907,0.0
Ned Kelly,1,10.9,10.9,733902907,0.0
Patatas fritas S,1,2.5,2.5,733902907,0.0
Tequeños,1,6.4,6.4,733902907,0.0
Slim Combo (Para 1),1,11.9,11.9,03A13,0.0
El Honesto Mike,1,11.7,11.7,FAEC5,0.0
Kahuna Burger,1,7.7,7.7,FAEC5,0.0
Patatas fritas Grandes,1,3.5,3.5,FAEC5,0.0
Patatas fritas Pequeñas,1,2.5,2.5,BL1XKAAZ,0.0
Sweet Home Benidorm,1,12.3,12.3,BL1XKAAZ,0.0
Sweet Home Alicante,1,11.7,11.7,27AE5,0.0
Patatas fritas Pequeñas,1,2.0,2.0,27AE5,0.0
Patatas fritas Grandes,1,3.5,3.5,27AE5,0.0
Kahuna Burger,1,7.7,7.7,27AE5,0.0
Kahuna Burger,2,8.1,16.2,3E454,0.0
Patatas fritas Grandes,2,4.5,9.0,3E454,0.0
Alitas,1,7.2,7.2,BZGKPT9L,0.0
Coca-Cola Sabor Original lata 330ml.,2,1.9,3.8,BZGKPT9L,0.0
Oklahoma Umbrella,1,7.5,7.5,BZGKPT9L,0.0
Patatas fritas Grandes,1,4.5,4.5,BZGKPT9L,0.0
Kahuna Burger,1,8.1,8.1,733909639,0.0
Patatas fritas L,1,4.5,4.5,733909639,0.0
Sweet Home Sanvi,1,12.3,12.3,733909639,0.0
Patatas fritas L,1,4.5,4.5,733912910,0.0
Oklahoma Umbrella,1,7.5,7.5,733912910,0.0
Charles Wells,1,8.3,8.3,733912910,0.0
Tequeños,1,6.4,6.4,733913902,0.0
Charles Wells,1,8.3,8.3,733913902,0.0
Chicken Tenders,1,7.6,7.6,733913902,0.0
Ned Kelly,1,10.9,10.9,733913902,0.0
Patatas fritas L,3,4.5,13.5,733913902,0.0
Ned Kelly,1,10.9,10.9,4E3EA,0.0
Sweet Home Alicante,2,12.3,24.6,4E3EA,0.0
Zima Blue,1,11.7,11.7,4E3EA,0.0
Tequeños,1,6.4,6.4,4E3EA,0.0
Charles Wells,1,8.3,8.3,4E3EA,0.0
Patatas fritas Grandes,2,4.5,9.0,4E3EA,0.0
Kahuna Burger,2,7.7,15.4,54174,0.0
Patatas fritas Grandes,1,3.5,3.5,54174,0.0
Arepa Reina Pepiada,1,6.5,6.5,B7ASQU21,0.0
Arepa La abuela Rumbera,1,10.9,10.9,B7ASQU21,0.0
Tequechapas (4 Uds.),1,7.5,7.5,B7ASQU21,0.0
Tequemix,1,9.9,9.9,BME6HP4H,0.0
Hamburguesa La Uno,1,14.6,14.6,BME6HP4H,0.0
Teque Nutella,1,3.2,3.2,BME6HP4H,0.0
Arepa sifrina,1,7.7,7.7,B59SAKWM,0.0
Hamburguesa Beety Miranda,1,12.7,12.7,BA7FVAE1,0.0
Hamburguesa La Uno,1,14.6,14.6,BA7FVAE1,0.0
Tequeños,1,6.4,6.4,25AA8,0.0
Patatas fritas Grandes,1,4.5,4.5,25AA8,0.0
Sweet Home Alicante,2,12.3,24.6,25AA8,0.0
Tequeños,1,5.9,5.9,4BF96,0.0
Charles Wells,1,7.7,7.7,4BF96,0.0
Tequeños,1,6.4,6.4,A6FE0,0.0
Kahuna Burger,1,8.1,8.1,A6FE0,0.0
Patatas fritas Grandes,1,4.5,4.5,A6FE0,0.0
Sweet Home Alicante,2,12.3,24.6,A6FE0,0.0
Sweet Home Alicante,2,12.3,24.6,733920192,0.0
Patatas fritas L,1,4.5,4.5,733920192,0.0
Patatas fritas S,1,2.5,2.5,733920192,0.0
Coca-cola,2,1.9,3.8,733920192,0.0
Patatas fritas Grandes,1,3.5,3.5,DD35D,0.0
Oklahoma Umbrella,1,7.5,7.5,DD35D,0.0
Sweet Home Alicante,2,11.7,23.4,DD35D,0.0
Kahuna Burger,1,8.5,8.5,MBZ9WMPY,0.0
Patatas fritas Pequeñas,1,2.5,2.5,MBZ9WMPY,0.0
Patatas fritas Pequeñas,1,2.0,2.0,B7764,0.0
Sweet Home Alicante,1,11.7,11.7,B7764,0.0
Burger La Uno Basic,1,12.6,12.6,AXLN29KT,0.0
Monchi Meal Combo (Para 2),1,23.8,23.8,733923305,0.0
Patatas fritas Grandes,1,3.5,3.5,77EF0,0.0
Oklahoma Umbrella,1,7.5,7.5,77EF0,0.0
Patatas fritas L,1,4.5,4.5,733923242,0.0
Ned Kelly,1,10.9,10.9,733923242,0.0
Cerveza Estrella Galicia 33CL,1,1.9,1.9,733923242,0.0
El Pelirojo Jimmy,1,10.7,10.7,733923242,0.0
Charles Wells,1,7.7,7.7,08F1D,0.0
Patatas fritas Grandes,1,3.5,3.5,08F1D,0.0
Sweet Home Benidorm,1,12.3,12.3,3EB28,0.0
Coca-Cola Zero Azúcar lata 330ml.,4,1.9,7.6,3EB28,0.0
Slim Combo (para 1),3,11.9,35.7,9C918,0.0
Patatas fritas Pequeñas,1,2.5,2.5,013ED,0.0
Sweet Home Madrid,2,12.7,25.4,013ED,0.0
Chicken tenders,1,7.7,7.7,88681,0.0
Hamburguesa La Uno,1,14.6,14.6,88681,0.0
Hamburguesa El Zar,1,14.9,14.9,88681,0.0
