artículos_ordenados,cantidad,precio_de_venta,artículo_subtotal,id_de_pedido,service_fee
Zima Blue,2,11.0,22.0,075F4,0.0
Burger Cheesebacon,1,11.9,11.9,ML31EMYT,0.0
Coca-Cola Zero Azúcar lata 330ml.,1,1.9,1.9,BDRYUEPY,0.0
Sweet Home Benidorm,1,12.3,12.3,BDRYUEPY,0.0
Patatas fritas Grandes,1,4.5,4.5,15278,0.0
Sweet Home Sanvi,1,12.3,12.3,15278,0.0
Coca-Cola Zero Azúcar lata 330ml.,1,1.9,1.9,15278,0.0
Hamburguesa La Caprichosa,1,12.9,12.9,857EF,0.0
Kahuna Burger,2,8.1,8.1,743543399,0.0
Patatas fritas S,1,2.5,2.5,743543399,0.0
Sweet Home Alicante,1,11.7,11.7,8FD40,0.0
Patatas fritas Pequeñas,1,2.0,2.0,8FD40,0.0
Patatas fritas Pequeñas,1,2.5,2.5,227DB,0.0
Zima Blue,1,12.2,12.2,227DB,0.0
Sweet Home Madrid,2,12.7,25.4,MX5X7VKY,0.0
Coca-Cola Zero Azúcar lata 330ml.,1,1.9,1.9,61810,0.0
Boniato frito grande,1,6.9,6.9,61810,0.0
Sweet Home Alicante,1,12.3,12.3,61810,0.0
Salsa Spicy,1,1.5,1.5,BJZ5BWCD,0.0
Monchi Meal Combo (Para 2),1,23.8,23.8,BJZ5BWCD,0.0
Agua (330 Ml.),2,1.0,2.0,BJZ5BWCD,0.0
Salsa Mayo Pepper,1,1.5,1.5,BJZ5BWCD,0.0
Kahuna Burger,1,7.7,7.7,30475,0.0
Patatas fritas Pequeñas,1,2.0,2.0,30475,0.0
Patatas fritas Pequeñas,1,2.5,2.5,626C6,0.0
Oklahoma Umbrella,1,7.5,7.5,626C6,0.0
Sweet Home Madrid,2,12.7,25.4,MTGDY5DX,0.0
Boniato frito pequeño,1,3.5,3.5,94101,0.0
Patatas fritas Pequeñas,1,2.5,2.5,94101,0.0
Kahuna Burger,1,8.1,8.1,94101,0.0
Oklahoma Umbrella,1,7.5,7.5,94101,0.0
Patatas fritas Grandes,2,3.5,7.0,1059E,0.0
Tequeños,1,5.9,5.9,1059E,0.0
Sweet Home Alicante,3,11.7,35.1,1059E,0.0
Charles Wells,2,7.7,15.4,1059E,0.0
Beety Miranda,2,12.7,25.4,AKTSGK8L,0.0
El Pelirojo Jimmy,2,9.7,19.4,8FBE1,0.0
Patatas fritas L,1,4.5,4.5,743605039,0.0
Chicken Tenders,1,7.6,7.6,743605039,0.0
Sweet Home Sanvi,2,12.3,24.6,743605039,0.0
Patatas fritas Grandes,1,4.5,4.5,DE8DB,0.0
Salsa Mayo Trufa,1,1.5,1.5,DE8DB,0.0
Sweet Home Alicante,2,12.3,24.6,DE8DB,0.0
Salsa Sweet-Umbrella,1,1.5,1.5,DE8DB,0.0
Burger La Caprichosa,1,11.9,11.9,MLKEXJMA,0.0
Ned Kelly,1,10.9,10.9,743602485,0.0
Oklahoma Umbrella,5,7.5,37.5,743602485,0.0
Sweet Home Sanvi,2,12.3,24.6,743602485,0.0
Kahuna Burger,1,7.7,7.7,66F5A,0.0
Boniato frito pequeño,1,3.5,3.5,134796132,0.0
Sweet Home Madrid,2,12.7,25.4,134796132,0.0
Slim Combo (Para 1),1,11.9,11.9,M92TUER2,0.0
Monchi Meal (Para 2),1,23.8,23.8,M92TUER2,0.0
Tequeños (4 Uds.),1,5.9,5.9,AHZYBQQ3,0.0
Burger Perla Negra,1,12.5,12.5,AHZYBQQ3,0.0
Burger La Uno Basic,1,12.6,12.6,AHZYBQQ3,0.0
Patatas fritas L,1,4.5,4.5,743609341,0.0
Zima Blue,1,11.7,11.7,743609341,0.0
Sweet Home Alicante,1,12.3,12.3,743609341,0.0
Zima Blue,1,12.2,12.2,88F45,0.0
Boniato frito grande,1,6.9,6.9,743604772,0.0
Sweet Home Sanvi,2,12.3,12.3,743604772,0.0
El Pelirojo Jimmy,2,10.7,21.4,BBPVRVHE,0.0
Patatas fritas Pequeñas,1,2.5,2.5,BBPVRVHE,0.0
Tequeños,1,6.4,6.4,BBPVRVHE,0.0
Sweet Home Benidorm,1,12.3,12.3,80625,0.0
Alitas,1,7.2,7.2,80625,0.0
Kahuna Burger,1,8.5,8.5,D089C,0.0
Tarta Marquesa de Nutella,1,5.9,5.9,D089C,0.0
Patatas fritas Grandes,1,3.5,3.5,C71CD,0.0
El Honesto Mike,1,11.7,11.7,C71CD,0.0
Sweet Home Alicante,1,11.7,11.7,C71CD,0.0
Alitas,1,7.2,7.2,C82AC,0.0
Sweet Home Sanvi,1,12.3,12.3,C82AC,0.0
El Pelirojo Jimmy,1,10.7,10.7,C82AC,0.0
Rabiosa,1,13.2,13.2,743616677,0.0
La Dos,1,14.2,14.2,743616677,0.0
Trío criollo,1,11.2,11.2,743616677,0.0
Salsa Zima Blue,1,1.5,1.5,D621B,0.0
Patatas fritas Pequeñas,1,2.5,2.5,D621B,0.0
Zima Blue,1,12.2,12.2,D621B,0.0
Oklahoma Umbrella,1,7.5,7.5,743598477,0.0
Agua,1,1.0,1.0,743598477,0.0
Patatas fritas S,1,2.5,2.5,743598477,0.0
Charles Wells,1,8.3,8.3,7DFCB,0.0
Patatas fritas Pequeñas,1,2.5,2.5,7DFCB,0.0
Boniato frito pequeño,1,3.5,3.5,CF94A,0.0
Sweet Home Alicante,2,12.3,24.6,CF94A,0.0
Patatas fritas Pequeñas,1,2.5,2.5,CF94A,0.0
Kahuna Burger,2,8.1,16.2,F7325,0.0
Salsa X,1,1.5,1.5,F7325,0.0
Tequeños,1,6.4,6.4,F7325,0.0
Boniato frito grande,1,6.9,6.9,F7325,0.0
El Pelirojo Jimmy,1,10.7,10.7,F7325,0.0
Patatas fritas Pequeñas,1,2.5,2.5,F7325,0.0
Patatas fritas Grandes,1,3.5,3.5,927F3,0.0
Zima Blue,1,11.0,11.0,927F3,0.0
Slim Combo (Para 1),1,11.9,11.9,743618658,0.0
Sweet Home Alicante,2,11.7,23.4,4F1F4,0.0
Patatas fritas Pequeñas,1,2.0,2.0,4F1F4,0.0
Slim Combo (Para 1),2,11.9,23.8,30548,0.0
Sweet Home Alicante,1,12.3,12.3,74C87,0.0
Patatas fritas Pequeñas,1,2.5,2.5,74C87,0.0
Sweet Home Sanvi,1,12.3,12.3,743541615,0.0
Kahuna Burger,1,8.1,8.1,743541615,0.0
Patatas fritas S,1,2.5,2.5,743541615,0.0
Tequeños,1,6.4,6.4,743541615,0.0
Patatas fritas Grandes,1,3.5,3.5,D2018,0.0
Charles Wells,1,7.7,7.7,D2018,0.0
Oklahoma Umbrella,1,7.5,7.5,D2018,0.0
La Muérgana,2,13.4,13.4,743621563,0.0
Monchi Meal (Para 2),1,23.8,23.8,7FC18,0.0
Patatas fritas Pequeñas,1,2.5,2.5,6BE31,0.0
Sweet Home Madrid,1,12.7,12.7,6BE31,0.0
Slim Combo (Para 1),1,11.9,11.9,MDDJ3GGA,0.0
Alitas,1,7.2,7.2,MDDJ3GGA,0.0
El honesto Mike,1,12.3,12.3,743624717,0.0
El Pelirojo Jimmy,1,10.7,10.7,743624717,0.0
Patatas fritas L,1,4.5,4.5,743624717,0.0
Sweet Home Alicante,1,11.7,11.7,BAACB,0.0
Patatas fritas Grandes,1,3.5,3.5,BAACB,0.0
El Pelirojo Jimmy,1,9.7,9.7,BAACB,0.0
Oklahoma Umbrella,3,7.5,22.5,AC091,0.0
Patatas fritas Grandes,1,4.5,4.5,AC091,0.0
Charles Wells,1,7.7,7.7,9AAB0,0.0
Patatas fritas Pequeñas,1,2.0,2.0,9AAB0,0.0
Patatas fritas Grandes,1,4.5,4.5,C1FAA,0.0
Sweet Home Alicante,1,12.3,12.3,C1FAA,0.0
El Honesto Mike,1,12.7,12.7,5CEFD,0.0
Patatas fritas Grandes,1,4.5,4.5,5CEFD,0.0
Chicken Tenders,1,7.6,7.6,5CEFD,0.0
Charles Wells,1,8.7,8.7,5CEFD,0.0
Patatas fritas Grandes,1,3.5,3.5,2BE39,0.0
Sweet Home Alicante,2,11.7,23.4,2BE39,0.0
Patatas fritas Pequeñas,1,2.0,2.0,701EF,0.0
Patatas fritas Grandes,1,3.5,3.5,701EF,0.0
Zima Blue,2,11.0,22.0,701EF,0.0
Coca-Cola Zero Azúcar lata 330ml.,1,1.9,1.9,BZN3DSDB,0.0
Agua (330 Ml.),1,1.0,1.0,BZN3DSDB,0.0
Arepa Reina Pepiada,1,6.5,6.5,BZN3DSDB,0.0
Sweet Home Alicante,2,11.7,23.4,C1EFC,0.0
Patatas fritas Grandes,3,3.5,10.5,29FD5,0.0
Zima Blue,1,11.0,11.0,29FD5,0.0
Sweet Home Alicante,3,11.7,35.1,29FD5,0.0
Salsa Zima Blue,1,1.5,1.5,29FD5,0.0
El Pelirojo Jimmy,1,9.7,9.7,29FD5,0.0
Charles Wells,1,8.3,8.3,743632237,0.0
Boniato frito grande,1,6.9,6.9,743632237,0.0
Tequeños,1,6.4,6.4,743632237,0.0
Sweet Home Alicante,1,12.3,12.3,743632237,0.0
Tequeños,1,5.9,5.9,5EF90,0.0
Patatas fritas Grandes,1,3.5,3.5,5EF90,0.0
Sweet Home Alicante,2,11.7,23.4,5EF90,0.0
Salsa X,1,1.5,1.5,743632843,0.0
Patatas fritas L,1,4.5,4.5,743632843,0.0
Kahuna Burger,4,8.1,16.2,743632843,0.0
Salsa Spicy,2,1.5,3.0,743632843,0.0
Teque Nutella,1,3.2,3.2,B2FE8,0.0
Hamburguesa La Vegana,1,14.5,14.5,B2FE8,0.0
Pack de 12 Tequeños,1,17.8,17.8,B2FE8,0.0
Kahuna Burger,1,8.1,8.1,5A033,0.0
Sweet Home Sanvi,1,12.3,12.3,5A033,0.0
Patatas fritas Pequeñas,1,2.5,2.5,5A033,0.0
Sweet Home Alicante,3,11.7,35.1,8E495,0.0
Kahuna Burger,1,8.1,8.1,BQSS7XKJ,0.0
Patatas fritas Pequeñas,1,2.5,2.5,BQSS7XKJ,0.0
Tequeños,1,6.4,6.4,BQSS7XKJ,0.0
Patatas fritas Grandes,1,3.5,3.5,AC0CC,0.0
Sweet Home Alicante,2,11.7,23.4,AC0CC,0.0
Patatas fritas Pequeñas,1,2.0,2.0,AC0CC,0.0
Kahuna Burger,2,8.1,8.1,743632325,0.0
Patatas fritas S,1,2.5,2.5,743632325,0.0
Agua,2,1.0,2.0,743632325,0.0
Burger Perla Negra,1,12.5,12.5,34667,0.0
Patatas Fritas,1,2.5,2.5,34667,0.0
Tequeños (4 Uds.),1,5.9,5.9,34667,0.0
Boniato Frito,1,3.5,3.5,34667,0.0
Chicken Tenders (7 Uds.),1,7.2,7.2,34667,0.0
Burger La Zar Basic,1,12.9,12.9,34667,0.0
Oklahoma Umbrella,2,7.5,15.0,134807896,0.0
Patatas fritas Grandes,1,4.5,4.5,134807896,0.0
El Honesto Mike,1,12.7,12.7,134807896,0.0
Patatas fritas Grandes,1,4.5,4.5,646CF,0.0
Sweet Home Sanvi,1,12.3,12.3,646CF,0.0
Patatas fritas L,1,4.5,4.5,743634304,0.0
Sweet Home Alicante,2,12.3,12.3,743634304,0.0
Kahuna Burger,1,8.5,8.5,F860F,0.0
Charles Wells,1,8.7,8.7,F860F,0.0
Salsa Spicy,1,1.5,1.5,F860F,0.0
Salsa Sweet-Umbrella,1,1.5,1.5,F860F,0.0
Tequeños,1,6.4,6.4,F860F,0.0
Patatas fritas Grandes,1,4.5,4.5,F860F,0.0
Patatas fritas S,2,2.5,5.0,743637012,0.0
El honesto Mike,1,12.3,12.3,743637012,0.0
Kahuna Burger,2,8.1,16.2,743637012,0.0
Tequeños,1,6.4,6.4,743637012,0.0
Patatas fritas Pequeñas,1,2.0,2.0,F4430,0.0
Kahuna Burger,1,7.7,7.7,F4430,0.0
Sweet Home Alicante,2,11.7,23.4,C16A9,0.0
Tequeños,1,5.9,5.9,C16A9,0.0
Coca-Cola Zero Azúcar lata 330ml.,1,1.9,1.9,C16A9,0.0
Boniato frito grande,1,6.9,6.9,704F8,0.0
Oklahoma Umbrella,1,7.5,7.5,704F8,0.0
Sweet Home Benidorm,1,12.3,12.3,51414,0.0
Patatas fritas Grandes,1,4.5,4.5,51414,0.0
Patatas fritas Grandes,1,3.5,3.5,F4E8F,0.0
Sweet Home Alicante,1,11.7,11.7,F4E8F,0.0
Zima Blue,1,11.0,11.0,A56EE,0.0
Patatas fritas Grandes,1,3.5,3.5,A56EE,0.0
Sweet Home Alicante,1,11.7,11.7,A56EE,0.0
Chicken Tenders,1,7.6,7.6,7E64A,0.0
Ned Kelly,1,10.9,10.9,7E64A,0.0
Sweet Home Sanvi,1,12.3,12.3,7E64A,0.0
Patatas fritas Grandes,1,4.5,4.5,7E64A,0.0
Salsa Spicy,2,1.5,3.0,7E64A,0.0
Slim Combo (para 1),1,11.9,11.9,8B15F,0.0
El Pelirojo Jimmy,1,10.7,10.7,95CC0,0.0
Ned Kelly,1,10.9,10.9,95CC0,0.0
Patatas fritas Pequeñas,2,2.5,5.0,95CC0,0.0
Sweet Home Sanvi,1,12.3,12.3,95CC0,0.0
Patatas fritas Pequeñas,1,2.5,2.5,1B27D,0.0
Zima Blue,1,11.7,11.7,1B27D,0.0
Sweet Home Madrid,1,12.7,12.7,66645,0.0
Patatas fritas Grandes,1,4.5,4.5,66645,0.0
Oklahoma Umbrella,1,7.5,7.5,66645,0.0
Patatas fritas L,3,4.5,13.5,743641026,0.0
El Pelirojo Jimmy,2,10.7,21.4,743641026,0.0
Kahuna Burger,2,8.1,16.2,743641026,0.0
Sweet Home Madrid,2,12.7,25.4,94290,0.0
Patatas fritas Grandes,1,4.5,4.5,94290,0.0
Alitas,1,7.2,7.2,E4891,0.0
Sweet Home Alicante,1,12.3,12.3,E4891,0.0
El Pelirojo Jimmy,1,10.7,10.7,E4891,0.0
Slim Combo (Para 1),1,11.9,11.9,BMFD3V7T,0.0
Patatas fritas S,1,2.5,2.5,743644706,0.0
Zima Blue,1,11.7,11.7,743644706,0.0
Tequeños,1,6.4,6.4,743643738,0.0
Ned Kelly,1,10.9,10.9,743643738,0.0
Patatas fritas S,1,2.5,2.5,743643738,0.0
Zima Blue,1,11.7,11.7,743643738,0.0
Kahuna Burger,1,8.1,8.1,743643738,0.0
Patatas fritas Grandes,1,4.5,4.5,4874B,0.0
Charles Wells,1,8.7,8.7,4874B,0.0
Sweet Home Madrid,1,12.7,12.7,4874B,0.0
Burger La Uno Basic,1,13.9,13.9,MBG3LGHV,0.0
Boniato Frito,1,3.9,3.9,MBG3LGHV,0.0
Tequeños (4 Uds.),1,6.5,6.5,MBG3LGHV,0.0
Oklahoma Umbrella,2,7.5,15.0,40508,0.0
Kahuna Burger,1,7.7,7.7,40508,0.0
Patatas fritas Grandes,2,3.5,7.0,40508,0.0
Cheesebacon,1,12.5,12.5,AMW1P3VR,0.0
Cocacola bote,2,1.9,3.8,AMW1P3VR,0.0
Caprichosa,1,12.9,12.9,AMW1P3VR,0.0
Sweet Home Sanvi,1,12.3,12.3,743642830,0.0
Tarta Marquesa de Nutella,1,5.9,5.9,743642830,0.0
Oklahoma Umbrella,1,7.5,7.5,743642830,0.0
Boniato frito pequeño,1,3.5,3.5,743642830,0.0
Coca-cola Zero,2,1.9,3.8,743642830,0.0
Chicken Tenders,1,7.6,7.6,743642830,0.0
Monchi Meal Combo (Para 2),1,23.8,23.8,743644676,0.0
Sweet Home Sanvi,1,12.3,12.3,743646793,0.0
Patatas fritas S,1,2.5,2.5,743646793,0.0
Kahuna Burger,1,8.1,8.1,52CE3,0.0
Sweet Home Sanvi,1,12.3,12.3,52CE3,0.0
Patatas fritas Pequeñas,2,2.5,5.0,52CE3,0.0
Salsa X,1,1.5,1.5,C6788,0.0
Patatas fritas Grandes,1,3.5,3.5,C6788,0.0
El Pelirojo Jimmy,1,9.7,9.7,C6788,0.0
Oklahoma Umbrella,1,7.5,7.5,C6788,0.0
Patatas fritas Grandes,1,3.5,3.5,7EEB4,0.0
Sweet Home Alicante,1,11.7,11.7,7EEB4,0.0
Tequeños,1,5.9,5.9,7EEB4,0.0
Kahuna Burger,1,7.7,7.7,7EEB4,0.0
Sweet Home Madrid,1,12.7,12.7,74AD0,0.0
Ned Kelly,1,11.4,11.4,74AD0,0.0
El Pelirojo Jimmy,3,10.7,32.1,ECE08,0.0
Patatas fritas Grandes,1,4.5,4.5,ECE08,0.0
Patatas fritas Grandes,1,4.5,4.5,89E38,0.0
Charles Wells,2,8.3,16.6,89E38,0.0
Boniato frito pequeño,1,3.5,3.5,B375SKNT,0.0
Patatas fritas Pequeñas,1,2.5,2.5,B375SKNT,0.0
Oklahoma Umbrella,1,7.5,7.5,B375SKNT,0.0
Ned Kelly,1,10.9,10.9,B375SKNT,0.0
Charles Wells,1,8.3,8.3,5B4E2,0.0
Patatas fritas Pequeñas,1,2.5,2.5,5B4E2,0.0
Slim Combo (Para 1),1,11.9,11.9,M1UHHPHF,0.0
Alitas,1,7.2,7.2,743651243,0.0
Patatas fritas L,1,4.5,4.5,743651243,0.0
El honesto Mike,1,12.3,12.3,743651243,0.0
El Pelirojo Jimmy,1,10.7,10.7,743651243,0.0
Tequemix,1,9.9,9.9,A4P94D1E,0.0
La Dos,1,15.7,15.7,A4P94D1E,0.0
Hamburguesa La Muergana,1,14.5,14.5,CD51C,0.0
La catira,1,8.0,8.0,CD51C,0.0
Hamburguesa La Uno,1,14.6,14.6,CD51C,0.0
Charles Wells,1,8.3,8.3,3C1CC,0.0
Patatas fritas Pequeñas,1,2.5,2.5,3C1CC,0.0
Boniato frito grande,1,6.9,6.9,27210,0.0
Chicken Tenders,1,7.6,7.6,27210,0.0
Sweet Home Alicante,1,12.3,12.3,27210,0.0
Patatas fritas Grandes,1,4.5,4.5,27210,0.0
Alitas,1,7.2,7.2,27210,0.0
Charles Wells,2,8.7,17.4,F82CF,0.0
Oklahoma Umbrella,1,7.5,7.5,F82CF,0.0
Patatas fritas Grandes,2,4.5,9.0,F82CF,0.0
El Honesto Mike,1,12.7,12.7,M1RUPH1H,0.0
Patatas fritas Grandes,1,4.5,4.5,M1RUPH1H,0.0
Patatas fritas S,1,2.5,2.5,743657144,0.0
Kahuna Burger,1,8.1,8.1,743657144,0.0
Sweet Home Alicante,1,12.3,12.3,743657144,0.0
Kahuna Burger,2,8.1,8.1,743647718,0.0
Ned Kelly,1,10.9,10.9,743647718,0.0
Chicken Tenders,1,7.6,7.6,743647718,0.0
Patatas fritas L,1,4.5,4.5,743647718,0.0
Kahuna Burger,1,8.1,8.1,301CD,0.0
Tequeños,1,6.4,6.4,301CD,0.0
Sweet Home Alicante,2,12.3,24.6,301CD,0.0
El Pelirojo Jimmy,1,10.7,10.7,301CD,0.0
Patatas fritas Pequeñas,1,2.5,2.5,301CD,0.0
Combo Ego (Para 1),1,13.4,13.4,743660093,0.0
Alitas,1,7.2,7.2,743660129,0.0
Kahuna Burger,1,8.1,8.1,743660129,0.0
Sweet Home Sanvi,2,12.3,24.6,743660129,0.0
Patatas fritas L,1,4.5,4.5,743660129,0.0
Kahuna Burger,1,7.7,7.7,85565,0.0
Sweet Home Alicante,1,11.7,11.7,85565,0.0
Roooaaarrr,1,12.9,12.9,743659679,0.0
Sweet Home Alicante,1,12.3,12.3,743659679,0.0
Boniato frito pequeño,1,3.5,3.5,743659679,0.0
Patatas fritas S,1,2.5,2.5,743659679,0.0
Alitas,1,7.2,7.2,743659679,0.0
Patatas fritas Pequeñas,1,2.0,2.0,E5A53,0.0
Charles Wells,2,7.7,15.4,E5A53,0.0
Sweet Home Alicante,1,11.7,11.7,E5A53,0.0
Slim Combo (para 1),4,11.9,47.6,1CA25,0.0
Burger La Zar Basic,1,12.9,12.9,ATPLCCHQ,0.0
Patatas fritas Pequeñas,1,2.5,2.5,8170B,0.0
Patatas fritas Grandes,1,4.5,4.5,8170B,0.0
Ned Kelly,3,10.9,32.7,8170B,0.0
Sweet Home Sanvi,1,12.3,12.3,8170B,0.0
Kahuna Burger,1,8.1,8.1,8170B,0.0
Provocativos,1,10.2,10.2,215A1,0.0
Alitas Kentucky (10 und),1,14.9,14.9,215A1,0.0
Hamburguesa La Inglesa,1,12.3,12.3,215A1,0.0
Hamburguesa La Uno,1,14.6,14.6,215A1,0.0
Perla Negra,2,13.9,13.9,743664408,0.0
El Pelirojo Jimmy,3,10.7,10.7,743659127,0.0
Boniato frito pequeño,1,3.5,3.5,743659127,0.0
Sweet Home Sanvi,1,12.3,12.3,743659127,0.0
Patatas fritas L,1,4.5,4.5,743659127,0.0
Sweet Home Madrid,1,12.7,12.7,543B6,0.0
Patatas fritas Pequeñas,2,2.5,2.5,543B6,0.0
Sweet Home Alicante,2,12.3,24.6,743664050,0.0
Patatas fritas L,1,4.5,4.5,743664050,0.0
Charles Wells,1,8.3,8.3,743664982,0.0
El Pelirojo Jimmy,1,10.7,10.7,743664982,0.0
Sweet Home Sanvi,1,12.3,12.3,743664982,0.0
Slim Combo (para 1),1,11.9,11.9,E11AF,0.0
Salsa X,1,1.5,1.5,E11AF,0.0
Sweet Home Alicante,2,12.3,24.6,743666138,0.0
Patatas fritas S,1,2.5,2.5,743666138,0.0
Kahuna Burger,1,8.1,8.1,743669136,0.0
Patatas fritas L,1,4.5,4.5,743669136,0.0
Sweet Home Alicante,1,12.3,12.3,743669136,0.0
Salsa Spicy,1,1.5,1.5,BF012,0.0
Salsa Sweet-Umbrella,1,1.5,1.5,BF012,0.0
Zima Blue,1,11.7,11.7,BF012,0.0
El Honesto Mike,1,12.3,12.3,BF012,0.0
Patatas fritas Pequeñas,1,2.5,2.5,BF012,0.0
Kahuna Burger,2,8.1,8.1,743669846,0.0
Charles Wells,2,8.3,8.3,743669846,0.0
Tequeños,3,6.4,19.2,743669846,0.0
Patatas fritas L,3,4.5,13.5,743669846,0.0
El honesto Mike,2,12.3,12.3,743669846,0.0
Combo Ego (para 1),2,13.4,26.8,A6087,0.0
Kahuna Burger,1,8.5,8.5,F5D2A,0.0
Patatas fritas Grandes,1,3.5,3.5,2494E,0.0
Sweet Home Alicante,1,11.7,11.7,2494E,0.0
Sweet Home Sanvi,2,12.3,24.6,10E67,0.0
Patatas fritas Grandes,1,4.5,4.5,10E67,0.0
Sweet Home Alicante,1,12.3,12.3,743673297,0.0
Kahuna Burger,1,8.1,8.1,743673297,0.0
Chicken Tenders,1,7.6,7.6,743673297,0.0
Patatas fritas L,1,4.5,4.5,743673297,0.0
Patatas fritas L,1,4.5,4.5,743673445,0.0
Sweet Home Alicante,2,12.3,12.3,743673445,0.0
Chicken Tenders,1,7.6,7.6,743673445,0.0
Sweet Home Madrid,1,12.7,12.7,MWGJL7Q2,0.0
Boniato frito pequeño,1,3.5,3.5,MWGJL7Q2,0.0
Salsa Sweet-Umbrella,1,1.5,1.5,134827499,0.0
Patatas fritas Grandes,1,4.5,4.5,134827499,0.0
Sweet Home Madrid,1,12.7,12.7,134827499,0.0
Salsa Zima Blue,1,1.5,1.5,134827499,0.0
Salsa X,1,1.5,1.5,134827499,0.0
Zima Blue,1,11.7,11.7,EFF90,0.0
Patatas Fritas,1,2.5,2.5,AL9TLBYN,0.0
Burger La Uno Basic,1,12.6,12.6,AL9TLBYN,0.0
Patatas Fritas,1,2.5,2.5,A1GGHRAP,0.0
Burger La Zar Basic,1,12.9,12.9,A1GGHRAP,0.0
Charles Wells,1,8.7,8.7,632E7,0.0
Patatas fritas Grandes,1,4.5,4.5,632E7,0.0
Slim Combo (para 1),2,11.9,23.8,68C04,0.0
Sweet Home Alicante,1,12.3,12.3,68C04,0.0
Boniato Frito,1,3.9,3.9,4965B,0.0
Burger Perla Negra,1,13.9,13.9,4965B,0.0
El honesto Mike,1,12.3,12.3,743673725,0.0
Chicken Tenders,1,7.6,7.6,743673725,0.0
Slim Combo (Para 1),1,11.9,11.9,743673725,0.0
Sweet Home Alicante,2,12.3,12.3,743673725,0.0
Patatas fritas S,2,2.5,5.0,743673725,0.0
Roooaaarrr,1,12.9,12.9,743673725,0.0
Ned Kelly,1,10.9,10.9,743673725,0.0
Burger Cheesebacon,1,10.9,10.9,15760,0.0
Burger La Caprichosa,1,10.9,10.9,15760,0.0
Patatas Fritas,1,2.5,2.5,DA478,0.0
Burger Cheesebacon,1,10.9,10.9,DA478,0.0
Patatas fritas Pequeñas,1,2.5,2.5,MWVQMX1A,0.0
Sweet Home Madrid,1,12.7,12.7,MWVQMX1A,0.0
Sweet Home Alicante,1,12.3,12.3,743685166,0.0
Patatas fritas L,1,4.5,4.5,743685166,0.0
Salsa MayoTrufa,1,1.5,1.5,743685166,0.0
Zima Blue,1,11.7,11.7,743685166,0.0
Kahuna Burger,1,8.1,8.1,73AE0,0.0
Patatas fritas Grandes,1,4.5,4.5,73AE0,0.0
Aquarius limón,2,2.2,4.4,743679074,0.0
La Caprichosa,1,12.5,12.5,743679074,0.0
El Zar,1,14.1,14.1,743679074,0.0
Monchi Meal (Para 2),1,23.8,23.8,F5424,0.0
Charles Wells,1,8.7,8.7,134831334,0.0
Patatas fritas Pequeñas,1,2.5,2.5,134831334,0.0
Patatas fritas S,2,2.5,2.5,743690407,0.0
Patatas fritas L,2,4.5,4.5,743690407,0.0
Sweet Home Sanvi,3,12.3,36.9,743690407,0.0
Ned Kelly,1,10.9,10.9,743690407,0.0
Slim Combo (Para 1),1,11.9,11.9,134832007,0.0
Combo Para Compartir,1,30.6,30.6,D7E43,0.0
Chicken Tenders (7 Uds.),2,7.2,14.4,D7E43,0.0
Slim Combo (Para 1),1,11.9,11.9,F04C0,0.0
Patatas fritas Pequeñas,1,2.5,2.5,2F8C1,0.0
Slim Combo (Para 1),1,11.9,11.9,2F8C1,0.0
Ned Kelly,1,11.4,11.4,23611,0.0
Oklahoma Umbrella,1,7.5,7.5,23611,0.0
Sweet Home Alicante,2,12.3,24.6,CFE81,0.0
Alitas Kentucky (10Und),1,15.9,15.9,A4CTDRPS,0.0
Inglesa,1,12.5,12.5,A4CTDRPS,0.0
Hamburguesa Perla Negra,1,14.3,14.3,BASECBL1,0.0
Patatas fritas Pequeñas,1,2.5,2.5,FE13C,0.0
Zima Blue,2,12.2,24.4,FE13C,0.0
Boniato frito pequeño,1,3.5,3.5,FE13C,0.0
Monchi Meal Combo (Para 2),1,23.8,23.8,743909703,0.0
El Pelirojo Jimmy,1,9.7,9.7,2AD5C,0.0
Sweet Home Alicante,1,11.7,11.7,2AD5C,0.0
Alitas,1,7.2,7.2,2AD5C,0.0
Patatas fritas L,1,4.5,4.5,743911440,0.0
Kahuna Burger,1,8.1,8.1,743911440,0.0
Charles Wells,1,8.3,8.3,743911440,0.0
Patatas fritas Pequeñas,1,2.5,2.5,34AD8,0.0
Slim Combo (para 1),1,11.9,11.9,34AD8,0.0
Cheesecake de Oreo,1,5.9,5.9,34AD8,0.0
Boniato Frito,1,3.5,3.5,F2C1C,0.0
Chicken Tenders (7 Uds.),1,7.2,7.2,F2C1C,0.0
Burger Cheesebacon,1,10.9,10.9,F2C1C,0.0
Burger La Uno Basic,1,12.6,12.6,F2C1C,0.0
Monchi Meal Combo (Para 2),1,23.8,23.8,743913844,0.0
Hamburguesa Perla Negra,1,14.3,14.3,BJ5PT3BZ,0.0
Slim Combo (Para 1),1,11.9,11.9,743915840,0.0
Tequeños,1,6.4,6.4,743915840,0.0
Combo Para Ti,1,16.3,16.3,MS1G3ULP,0.0
Sweet Home Alicante,1,11.7,11.7,13C94,0.0
El Honesto Mike,1,11.7,11.7,13C94,0.0
Patatas fritas Grandes,1,3.5,3.5,13C94,0.0
Salsa X,1,1.5,1.5,13C94,0.0
Sweet Home Benidorm,2,12.3,24.6,BL2Q2TU9,0.0
Patatas fritas Pequeñas,2,2.5,5.0,BL2Q2TU9,0.0
