,latitude,longitude,timestamp
1,38.370743482023485,-0.4713171153123774,1672576325000
5,38.341867211037425,-0.5048550226219284,1672580248000
7,38.34405130925046,-0.5069880775612319,1672581256000
9,38.37088349810811,-0.4566581145863968,1672599203000
10,38.371705925039144,-0.4746596109493284,1672604617000
15,38.362770067194525,-0.4148819288284611,1672666463000
17,38.35972433412221,-0.4685431114218441,1672685476000
19,38.370156889519336,-0.5013714401729885,1672688949000
20,38.33346140701045,-0.5097892146148175,1672689703000
25,38.34405130925046,-0.5069880775612319,1672696159000
27,38.34436860000002,-0.49428140000000065,1672754536000
28,38.36777186492896,-0.48038500784513216,1672774637000
29,38.33367119999999,-0.5082596000000073,1672775408000
31,38.36227411920372,-0.4668820687295727,1672776313000
33,38.36425599999999,-0.4927376472213707,1672777557000
34,38.34410894332785,-0.4818745739534114,1672779315000
37,38.3512802050798,-0.4969026536002574,1672837916000
38,38.362884466193194,-0.48334088421284394,1672839292000
39,38.360698915198704,-0.4868680903241307,1672839987000
41,38.38724298165325,-0.4908723476760679,1672860370000
42,38.39895764121155,-0.5220948337295517,1672861256000
45,38.36641304575606,-0.47412822376057706,1672866656000
46,38.333885738206135,-0.5082078538662693,1672867190000
48,38.35255707563479,-0.5091984135541452,1672920088000
51,38.345137725187065,-0.5104391375612782,1672946947000
52,38.36253842872896,-0.4970628186721826,1672954998000
54,38.36048043089114,-0.4952359321206057,1673010455000
57,38.36095,-0.47582,1673031141000
58,38.35156331461264,-0.48611714398198114,1673031702000
60,38.3504543538669,-0.4952809154727289,1673032932000
61,38.35152531820109,-0.49582562975430955,1673033634000
62,38.36140182165619,-0.47124346197662703,1673034547000
65,38.35490064146578,-0.5108519558196956,1673035657000
66,38.35788298020365,-0.4881546324010033,1673037053000
68,38.35015990333794,-0.5014784132432859,1673039643000
69,38.345210608867724,-0.5108719522010863,1673040036000
70,38.37512306715172,-0.4938116990472281,1673040445000
73,38.36511174512497,-0.4992052366792432,1673097856000
74,38.39226492254861,-0.5196328515205306,1673099912000
75,38.36205169337774,-0.46339192037658794,1673120511000
76,38.36205169337774,-0.46339192037658794,1673120817000
77,38.358736467713335,-0.48452204232787954,1673121717000
78,,,1673122127000
79,38.34714545271407,-0.5031095631946547,1673122163000
80,38.34306115052112,-0.511846789552548,1673122191000
82,38.357135076503994,-0.5041905060821539,1673123367000
83,38.328072032958126,-0.5121153318771454,1673123547000
85,38.32825637175744,-0.51504843743438,1673125319000
89,38.36131421442991,-0.4768900000786971,1673182654000
90,38.33458148005305,-0.5051899169908447,1673183013000
91,38.362553981676704,-0.48395528251697684,1673183573000
94,38.36491397930751,-0.49652679325409066,1673207858000
95,38.36591488105699,-0.4268921883606036,1673207992000
96,38.358749119585795,-0.5059857296019543,1673208317000
98,38.342736557545294,-0.4909281253101794,1673208586000
99,38.3677259934408,-0.47224709300301315,1673208738000
100,38.34545677850168,-0.5163073040084032,1673209818000
101,38.35463001579707,-0.4836966525300901,1673209875000
104,,,1673212381000
105,38.36181021838919,-0.4763341153442324,1673293877000
108,38.36516604609456,-0.4692873767211947,1673301135000
109,38.36510490894567,-0.48978224638185575,1673379014000
112,38.360157262645686,-0.478916822107351,1673382303000
113,38.36306938180234,-0.4641758410293795,1673383423000
114,38.38749279899113,-0.4917667268024388,1673464864000
116,38.36239806652641,-0.4800427893411574,1673530031000
118,38.34271954634838,-0.4909472010932925,1673550386000
120,38.34338501481132,-0.5002323337213799,1673551923000
122,38.32716245633098,-0.517491947336417,1673554790000
123,38.363106333777225,-0.4860534281003903,1673555732000
124,38.35791232052034,-0.48999796958147934,1673556612000
129,38.36641304575606,-0.47412822376057706,1673638917000
131,38.33718684759754,-0.5022912546385783,1673640391000
132,38.36294972485448,-0.4664465306884802,1673642128000
134,38.35939220103243,-0.495293799999994,1673646916000
137,38.358779104119236,-0.47595403746654164,1673697740000
144,,,1673726205000
146,38.353166350367545,-0.5091519458004989,1673726489000
147,38.36246348127693,-0.49329020094602605,1673726656000
149,38.35082416860905,-0.5106984343933041,1673727282000
153,38.36886779736176,-0.4989528236140539,1673730380000
155,38.3761042251708,-0.5087619800963905,1673733485000
159,38.371705925039144,-0.4746596109493284,1673792695000
161,38.353758571604615,-0.47449871971619206,1673809840000
162,38.3263358584258,-0.5132088542169844,1673810587000
164,38.36997841778131,-0.49399114832903024,1673811582000
166,38.35320936986622,-0.5086958781552497,1673812890000
168,38.36132139827716,-0.47008535344237545,1673813704000
170,38.35947915000891,-0.4756819171966642,1673816258000
172,38.363510872573,-0.48483986191490747,1673874019000
173,38.40309453408653,-0.523652179762264,1673896906000
174,38.34714545271407,-0.5031095631946547,1673898645000
176,38.35862528935535,-0.502918487508961,1673983088000
177,38.342261155537464,-0.5082100779098586,1673987748000
178,38.362211065325106,-0.4809296024570786,1673988380000
181,38.351563686952694,-0.48611265407999094,1674072762000
183,38.39747535334812,-0.5193874871502291,1674073789000
186,38.360157262645686,-0.478916822107351,1674156997000
187,38.35463001579707,-0.4836966525300901,1674158214000
188,38.36138021655256,-0.4808041288360654,1674158961000
189,38.34314742072953,-0.4982870753990176,1674159067000
190,38.365145015669825,-0.4693624785736117,1674161440000
191,38.36746657619938,-0.43661299999999903,1674162814000
193,38.35208706897095,-0.4744870523462419,1674221077000
195,38.35107295518401,-0.5102181119538045,1674242911000
196,38.370917706386024,-0.45665718644143594,1674242921000
197,38.342745782237756,-0.4909598727879261,1674243167000
198,38.349291692993454,-0.48497889999999266,1674243647000
199,38.39222708195669,-0.5195443386230392,1674244033000
